novel_key	custom_id	period
daphnis_and_chloe	Longus_Scr._Erot._Daphnis_et_Chloe	Imperial
ephesiaca	Xenophon_Scr._Erot._Ephesiaca	Imperial
callirhoe	Chariton_Scr._Erot._De_Chaerea_et_Callirhoe	Imperial
hysmine_and_hysminias	Eustathius Macrembolites_Hysmine et Hysminias	Komnenian
aithiopica	Heliodorus_Scr._Erot._Aethiopica	Imperial
leucippe_and_clithophon	Achilles_Tatius_Scr._Erot._Leucippe_et_Clitophon	Imperial
rhodante_and_dosicles	Theodorus Prodromus_Rhodanthe et Dosicles	Komnenian
drosilla_and_charicles	Nicetas Eugenianus_Drosilla et Charicles	Komnenian
aristandros_and_callithea	Constantinus Manasses_Aristandros et Callithea	Komnenian
libistros_and_rhodamne	Anonymous_Libistrus et Rhodamne	Palaiologan
callimachus_and_chrysorrhoe	Andronicus Palaeologus_Callimachus et Chrysorrhoe	Palaiologan
belthandros_and_chrysantza	Anonymous_Belthandrus et Chrysantza	Palaiologan
imperios_and_margarona	Anonymous_Imperius et Margarona	Palaiologan
alexander_and_semiramis	Anonymous_Alexandrus et Semiramis	Palaiologan
phlorios_and_platziaflora	Anonymous_Phlorius et Platzia Phlora	Palaiologan
